Campaign ID,Parent Campaign ID,Member Type,Member Status,Lead ID,Member First Associated Date,Member Status Update Date,Member First Responded Date,Responded,Title,Company,Account Owner,Street Line 3,Country,State/Province,Campaign Name
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q300000164ja5,9/13/15,9/13/15,,0,Systems Architect/ CTO,Elbit Systems,,,Israel,Non-U.S.,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001DqLgD,9/28/15,9/28/15,,0,Manager - Windows Virtualization Services,Centene,,,United States,MO,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001EItnx,7/16/15,7/16/15,,0,Data Architect,Goodwill Industries of Greater New York and Northern New Jersey,,,United States,NY,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001EJ3BT,7/20/15,8/25/15,,0,IT Global Managing Director,Unisys Corporation,,,United States,PA,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001ELWNc,8/25/15,8/25/15,,0,Principal Systems Engineer,General Dynamics Information Technology,,,United States,VA,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001FN9Gz,9/11/15,9/11/15,,0,VP,Unisys Corporation,,,United States,PA,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001FNFcV,9/14/15,9/14/15,,0,Administrative assistant,National Archives & Records Administration,,,United States,DC,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001FNHbK,9/15/15,9/15/15,,0,Power Systems,Next Era energy,,,United States,FL,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001FNHc9,9/15/15,9/15/15,,0,,Bank of America,,,India,AP,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001GjvNO,2/4/16,2/4/16,,0,,Principal Financial,,,United States,IA,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001GjvPm,2/4/16,2/4/16,,0,,IFC,,,United States,VA,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001GjvSu,2/4/16,2/4/16,,0,Engineer,USMC,,,United States,VA,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001GjwZW,2/4/16,2/4/16,,0,,WREYCON,,,United States,MD,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001Gk6sf,2/8/16,2/8/16,,0,,1105media,,,United States,CA,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXy,70130000000hgdb,Lead,Sent,00Q3000001Gk7PG,2/8/16,2/8/16,,0,,Commonwealth,,,United States,FL,1105 Media (5 Ways PaaS Helps Devs)
70130000000iLXU,70130000000hgdb,Lead,Responded,00Q30000013O1kF,9/8/15,9/21/15,9/8/15,1,Other: Non-Manager,accenture,,,United States,VT,1105 Media (Docker Strategy WP)
70130000000iLXU,70130000000hgdb,Lead,Responded,00Q3000001FMo8w,9/21/15,9/21/15,9/21/15,1,Senior Director,General Dynamics Information Technology,,,United States,,1105 Media (Docker Strategy WP)
70130000000iLXU,70130000000hgdb,Lead,Responded,00Q3000001FMy2A,9/7/15,9/7/15,9/7/15,1,,International Business Machines,,,United States,NY,1105 Media (Docker Strategy WP)
70130000000iLXU,70130000000hgdb,Lead,Responded,00Q3000001FMzgB,9/8/15,9/8/15,9/8/15,1,Principal Technical Architect,salesforce.com,,,United States,CA,1105 Media (Docker Strategy WP)
70130000000iLXU,70130000000hgdb,Lead,Responded,00Q3000001FMzgL,9/8/15,9/8/15,9/8/15,1,,The MITRE Corporation,,,United States,MD,1105 Media (Docker Strategy WP)
70130000000iLXU,70130000000hgdb,Lead,Responded,00Q3000001FMzmY,9/8/15,9/8/15,9/8/15,1,Senior IT Analyst,Caterpillar Inc.,,,United States,IL,1105 Media (Docker Strategy WP)
70130000000iLXU,70130000000hgdb,Lead,Responded,00Q3000001FNZ65,9/21/15,9/21/15,9/21/15,1,Senior IT Strategist,Caterpillar Inc,,,United States,IL,1105 Media (Docker Strategy WP)
70130000000iLXU,70130000000hgdb,Lead,Responded,00Q3000001FNZ78,9/21/15,9/21/15,9/21/15,1,,Raytheon,,,United States,MA,1105 Media (Docker Strategy WP)
70130000000iLXU,70130000000hgdb,Lead,Responded,00Q3000001Gk6f1,2/8/16,2/8/16,2/8/16,1,,Mobile Aids Support Services,,,United States,AL,1105 Media (Docker Strategy WP)
70130000000iLXU,70130000000hgdb,Lead,Responded,00Q3000001Gk7FY,2/8/16,2/8/16,2/8/16,1,,Arora,,,United States,CT,1105 Media (Docker Strategy WP)
70130000000iLXU,70130000000hgdb,Lead,Responded,00Q3000001Gk7sE,2/8/16,2/8/16,2/8/16,1,,Chris Solutions,,,New Zealand,,1105 Media (Docker Strategy WP)
70130000000iLXU,70130000000hgdb,Lead,Responded,00Q3000001Gk7zc,2/8/16,2/8/16,2/8/16,1,,ACM SL,,,Spain,,1105 Media (Docker Strategy WP)
70130000000iLXU,70130000000hgdb,Lead,Responded,00Q3000001Gk7zd,2/8/16,2/8/16,2/8/16,1,,ct,,,India,,1105 Media (Docker Strategy WP)
70130000000iLXt,70130000000hgdb,Contact,Sent,0033000001SlCD0,8/23/15,8/23/15,,0,SME .NET Windows Clustering  - Enterprise Web Hosting,The Boeing Company,John Golke,,United States,WA,1105 Media (New and Existing Apps)
70130000000iLXt,70130000000hgdb,Lead,Sent,00Q3000000bsuDc,7/31/15,7/31/15,,0,,Alpha score,,,Croatia,,1105 Media (New and Existing Apps)
70130000000iLXt,70130000000hgdb,Lead,Sent,00Q3000000f7clt,7/30/15,7/30/15,,0,Principal Architect,Intel,,,United States,OR,1105 Media (New and Existing Apps)
70130000000iLXt,70130000000hgdb,Lead,Sent,00Q3000000iwPLG,9/4/15,9/4/15,,0,Sr Architect,Cognizant Technology Solutions,,,India,,1105 Media (New and Existing Apps)
70130000000iLXt,70130000000hgdb,Lead,Sent,00Q30000013O1kF,7/30/15,7/30/15,,0,Other: Non-Manager,accenture,,,United States,VT,1105 Media (New and Existing Apps)
