Opportunity ID,Account ID,Stage,Billing Country,Billing State/Province,Type,Lead Source,Close Date,Probability (%),Fiscal Period,Age,Created Date
0063000000lA5DJ,0013000000jGxZg,Closed Lost,,,Production License,Web Site,2/17/2009,0,Q1-2009,70,12/9/2008
0063000000lA5DK,0013000000jGxZh,Closed Lost,Canada,ON,Production License,Cold Call,9/30/2009,0,Q3-2009,99,6/23/2009
0063000000lA5DN,0013000000jGxZl,Closed Lost,,,Production License,Trade Show,6/15/2009,0,Q2-2009,176,12/21/2008
0063000000lA5DO,0013000000jGxZm,Closed Lost,,,Production License,Web Site,12/31/2009,0,Q4-2009,165,7/19/2009
0063000000lA5Df,0013000000jGxZn,Closed Lost,,,Production License,Web Site,12/31/2009,0,Q4-2009,287,3/19/2009
0063000000lA5GK,0013000000jGxZp,Closed Lost,,,Service,,12/31/2009,0,Q4-2009,82,10/10/2009
0063000000lA5Ex,0013000000jGxZp,Closed Lost,,,,,3/31/2010,0,Q1-2010,203,9/9/2009
0063000000lA5Ei,0013000000jGxZp,Closed Lost,,,,,6/30/2009,0,Q2-2009,33,5/28/2009
0063000000lA5EX,0013000000jGxZp,Closed Lost,,,,,11/30/2009,0,Q4-2009,162,6/21/2009
0063000000lA5E3,0013000000jGxZp,Closed Won,,,Production License,Web Site,9/2/2009,100,Q3-2009,99,5/26/2009
0063000000lA5Dj,0013000000jGxZp,Closed Won,,,Service,Web Site,7/15/2009,100,Q3-2009,64,5/12/2009
0063000000lA5D9,0013000000jGxZp,Closed Lost,,,,,2/28/2010,0,Q1-2010,252,6/21/2009
0063000000lA5DT,0013000000jGxZq,Closed Lost,,,Other,Web Site,9/3/2009,0,Q3-2009,131,4/25/2009
0063000000lA5GI,0013000000jGxZr,Closed Won,,,Production License,,2/11/2010,100,Q1-2010,70,12/3/2009
0063000000lA5Dc,0013000000jGxZr,Closed Won,,,Production License,Web Site,4/7/2009,100,Q2-2009,67,1/30/2009
0063000000lA5EI,0013000000jGxZt,Closed Lost,India,,Partner Commission,,3/31/2010,0,Q1-2010,281,6/23/2009
0063000000lA5DZ,0013000000jGxZt,Closed Lost,India,,,Web Site,3/31/2010,0,Q1-2010,336,4/29/2009
0063000000lA5DS,0013000000jGxZu,Closed Lost,,CT,License,Campaign,9/30/2010,0,Q3-2010,469,6/18/2009
0063000000lA5DR,0013000000jGxZw,Closed Lost,,,Production License,Web Site,12/31/2009,0,Q4-2009,130,8/23/2009
0063000000lA5DA,0013000000jGxZx,Closed Lost,India,,Other,Web Site,4/30/2009,0,Q2-2009,108,1/12/2009
0063000000lA5Dn,0013000000jGxZz,Closed Lost,,,Production License,Web Site,4/7/2009,0,Q2-2009,84,1/13/2009
0063000000lA5Dd,0013000000jGxa1,Closed Lost,,,Production License,Web Site,5/29/2009,0,Q2-2009,30,4/29/2009
0063000000lA5Dh,0013000000jGxa2,Closed Lost,,,Other,Web Site,12/31/2009,0,Q4-2009,240,5/5/2009
0063000000lA5EU,0013000000jGxa3,Closed Lost,Russian Federation,,,Web Site,9/30/2009,0,Q3-2009,120,6/2/2009
0063000000lA5GN,0013000000jGxa3,Closed Lost,Russian Federation,,,,12/31/2009,0,Q4-2009,196,6/18/2009
0063000000lA5DX,0013000000jGxa5,Closed Lost,,AZ,Production License,,12/31/2009,0,Q4-2009,196,6/18/2009
0063000000lA5E7,0013000000jGxa6,Closed Won,,,Production License,Web Site,4/2/2009,100,Q2-2009,87,1/5/2009
0063000000lA5De,0013000000jGxa7,Closed Lost,,,Partner Commission,Other,6/30/2009,0,Q2-2009,12,6/18/2009
0063000000lA5Dl,0013000000jGxa8,Closed Lost,,,Production License,Web Site,12/31/2009,0,Q4-2009,217,5/28/2009
00630000010Obwx,0013000000jGxa9,Closed Won,United States,NJ,Service,Existing Account,6/3/2015,100,Q2-2015,44,4/20/2015
00630000010MmnR,0013000000jGxa9,Closed Won,United States,NJ,License,Employee Referral,3/2/2015,100,Q1-2015,21,2/9/2015
0063000000yVWpH,0013000000jGxa9,Closed Lost,United States,NJ,License,linkedinad,12/25/2020,0,Q4-2020,2440,4/21/2014
00630000011isny,0013000000jGxa9,Closed Won,United States,NJ,Service,Existing Account,9/30/2015,100,Q3-2015,58,8/3/2015
00630000010P7By,0013000000jGxa9,Procurement,United States,NJ,License & Service,Existing Account,2/10/2016,80,Q1-2016,275,5/11/2015
00630000010OSuK,0013000000jGxa9,Closed Won,United States,NJ,Service,Existing Account,6/3/2015,100,Q2-2015,51,4/13/2015
0063000000lA5DY,0013000000jGxa9,Closed Lost,United States,NJ,Production License,Self Generated,9/30/2010,0,Q3-2010,588,2/19/2009
0063000000o5HT8,0013000000jGxa9,Closed Lost,United States,NJ,License,,3/30/2012,0,Q1-2012,161,10/21/2011
0063000000lA5DP,0013000000jGxaB,Closed Lost,,,Production License,Web Site,5/29/2009,0,Q2-2009,64,3/26/2009
0063000000lA5E2,0013000000jGxaC,Closed Lost,,,,Web Site,9/30/2009,0,Q3-2009,104,6/18/2009
0063000000lA5Dq,0013000000jGxaC,Closed Lost,,,Production License,Web Site,7/9/2009,0,Q3-2009,67,5/3/2009
0063000000lA5Er,0013000000jGxaD,Closed Lost,,,Quick Start License,Web Site,6/30/2010,0,Q2-2010,310,8/24/2009
0063000000lA5Dg,0013000000jGxaD,Closed Lost,,,,Web Site,9/30/2009,0,Q3-2009,73,7/19/2009
0063000000lA5Di,0013000000jGxaE,Closed Lost,,TX,,Campaign,3/31/2010,0,Q1-2010,286,6/18/2009
0063000000lA5Do,0013000000jGxaG,Closed Won,,,Other,Campaign,8/30/2009,100,Q3-2009,117,5/5/2009
0063000000lA5DI,0013000000jGxaH,Closed Lost,,,Production License,Web Site,4/1/2009,0,Q2-2009,51,2/9/2009
0063000000lA5Dm,0013000000jGxaJ,Closed Lost,,,Production License,Web Site,6/24/2009,0,Q2-2009,170,1/5/2009
0063000000lA5DG,0013000000jGxaK,Closed Lost,United States,IL,,,3/31/2010,0,Q1-2010,309,5/26/2009
0063000000lA5Dr,0013000000jGxaN,Closed Lost,,,Other,Web Site,12/31/2009,0,Q4-2009,228,5/17/2009
0063000000lA5Dv,0013000000jGxaO,Closed Lost,Canada,ON,Service,Web Site,4/22/2011,0,Q2-2011,731,4/21/2009
0063000000lA5Dp,0013000000jGxaR,Closed Lost,,,Production License,Web Site,9/30/2010,0,Q3-2010,403,8/23/2009
0063000000lA5Eh,0013000000jGxaS,Closed Lost,,,Production License,,5/31/2011,0,Q2-2011,663,8/6/2009
0063000000lA5DQ,0013000000jGxaT,Closed Lost,,,Quick Start License,,3/31/2010,0,Q1-2010,247,7/27/2009
0063000000lA5Du,0013000000jGxaU,Closed Lost,,,Other,Web Site,7/2/2009,0,Q3-2009,63,4/30/2009
0063000000lA5E1,0013000000jGxaV,Closed Lost,,MA,Production License,Web Site,6/30/2009,0,Q2-2009,64,4/27/2009
0063000000lA5GJ,0013000000jGxaW,Closed Lost,United Kingdom,,Service,,3/31/2010,0,Q1-2010,48,2/11/2010
0063000000lA5GF,0013000000jGxaW,Closed Lost,United Kingdom,,Partner Commission,,6/30/2010,0,Q2-2010,263,10/10/2009
0063000000lA5Dx,0013000000jGxaW,Closed Won,United Kingdom,,Production License,Campaign,11/6/2009,100,Q4-2009,75,8/23/2009
0063000000lA5Dk,0013000000jGxaW,Closed Won,United Kingdom,,Partner Commission,Existing Account,9/30/2009,100,Q3-2009,21,9/9/2009
0063000000lA5GM,0013000000jGxaW,Closed Lost,United Kingdom,,Service,Existing Customer,1/3/2012,0,Q1-2012,589,5/24/2010
0063000000lA5Dy,0013000000jGxaX,Closed Lost,,,Production License,Web Site,6/1/2009,0,Q2-2009,117,2/4/2009
0063000000lA5Ea,0013000000jGxaY,Closed Lost,,,,Web Site,9/30/2009,0,Q3-2009,121,6/1/2009
0063000000lA5Dz,0013000000jGxaY,Closed Lost,,,Production License,Web Site,7/6/2009,0,Q3-2009,18,6/18/2009
0063000000lA5Dw,0013000000jGxaZ,Closed Lost,United States,TX,Other,Self Generated,3/2/2009,0,Q1-2009,82,12/10/2008
0063000000lA5E6,0013000000jGxab,Closed Lost,Estonia,,Production License,Trade Show,5/30/2009,0,Q2-2009,117,2/2/2009
0063000000lA5E5,0013000000jGxac,Closed Lost,,,Production License,Web Site,12/31/2009,0,Q4-2009,130,8/23/2009
0063000000lA5EA,0013000000jGxad,Closed Lost,,,Production License,Web Site,2/28/2009,0,Q1-2009,60,12/30/2008
0063000000lA5GE,0013000000jGxae,Closed Won,,,Production License,,12/31/2009,100,Q4-2009,28,12/3/2009
0063000000lA5E8,0013000000jGxag,Closed Lost,,,Other,Self Generated,4/2/2009,0,Q2-2009,110,12/13/2008
0063000000lA5DL,0013000000jGxah,Closed Lost,,,Production License,Web Site,7/15/2010,0,Q3-2010,353,7/27/2009
0063000000lA5EB,0013000000jGxak,Closed Lost,,,Quick Start License,Web Site,6/30/2010,0,Q2-2010,311,8/23/2009
0063000000lA5EF,0013000000jGxal,Closed Lost,,,Production License,Web Site,7/28/2009,0,Q3-2009,40,6/18/2009
0063000000lA5EE,0013000000jGxam,Closed Lost,United States,,,Web Site,3/31/2020,0,Q1-2020,3939,6/18/2009
0063000000lA5Da,0013000000jGxan,Closed Lost,,,Other,,3/9/2009,0,Q1-2009,41,1/27/2009
0063000000lA5ED,0013000000jGxao,Closed Lost,,,Production License,Web Site,12/31/2009,0,Q4-2009,130,8/23/2009
0063000000lA5ES,0013000000jGxap,Closed Lost,,,Production License,,6/30/2010,0,Q2-2010,336,7/29/2009
0063000000lA5Ds,0013000000jGxaq,Closed Lost,,,Quick Start License,Other,9/30/2010,0,Q3-2010,504,5/14/2009
0063000000lA5EG,0013000000jGxar,Closed Lost,,VA,Other,Trade Show,5/31/2011,0,Q2-2011,903,12/9/2008
0063000000lA5Ef,0013000000jGxau,Closed Lost,,,Production License,Self Generated,5/15/2009,0,Q2-2009,121,1/14/2009
0063000000lA5ER,0013000000jGxav,Closed Lost,,,Production License,Web Site,7/16/2009,0,Q3-2009,186,1/11/2009
0063000000lA5Ff,0013000000jGxaw,Closed Won,,MN,Production License,Web Site,2/1/2010,100,Q1-2010,0,2/4/2010
