name2,Country,Count in Lead,Count in Campaign
acornsystems,USA,7,0
aecomtechnology,USA,19,1
americanairlines,USA,11,0
americanfidelityassurancecompany,USA,1,2
amerisourcebergenspecialtygroup,USA,8,0
anthem,USA,20,4
apxlabs,USA,7,0
aqrcapital,USA,3,1
asb,NewZealand,2,0
associatedpress,USA,5,0
att,USA,92,9
atlascommunications,USA,4,0
axa,France,41,6
ballytechnologies,USA,3,0
bbvacompass,USA,2,0
bchydro,Canada,5,0
bematech,Brazil,3,0
betfred,UK,1,0
bigdaddydevelopment,USA,1,0
bitcentral,USA,1,0
blackbaud,USA,23,0
blueshieldofcalifornia,USA,22,0
branddeveloperslimitedtradingastvshop,NewZealand,1,0
bsolutions,USA,1,0
californiasouthernuniversity,USA,4,1
cardinalhealth,USA,29,18
carestreamdental,UK,1,0
caterpillar,USA,14,2
chrobinson,USA,14,0
charlesschwab,USA,58,7
chesapeakemanagementservices,USA,1,0
choicefinancialservices,Spain,2,0
cibc,Canada,24,1
ciscosystems,USA,154,88
citcofinancial,USA,2,0
citigroup,USA,192,16
clearchannelcommunications,USA,2,0
cofely,Netherlands,1,0
comerica,USA,3,0
commonwealthbankofaustralia,USA,52,17
compassgroupusa,USA,14,1
computech,Guadeloupe,1,0
conocophillips,USA,46,3
corelogis,USA,2,0
davita,USA,16,0
dellsoftware,Spain,1,0
deloittetaxllp,USA,2,0
deutschebank,USA,53,3
deutschepostitservices,Germany,1,0
diebold,USA,48,0
disneyabctelevisiongroup,USA,3,1
dovetailhealth,USA,2,0
dowjones,USA,28,1
electronicarts,India,2,0
emiratesairlines,USA,3,0
erieinsurance,USA,4,0
erportalsoftwaregroup,USA,1,0
etouchsystemcorp,USA,1,0
fedex,USA,14,1
fico,USA,27,0
fidelityinvestments,USA,78,16
firstdatacorporation,USA,14,5
freddiemac,USA,99,1
gartnerit,USA,1,0
generalelectric,USA,23,2
grosvenorcapitalmanagement,USA,2,0
hanys,USA,2,0
hartvillegroup,USA,5,0
hcltechnologies,India,5,2
homeaway,USA,7,0
hp,USA,123,3
ing,USA,12,0
innovationassetgroup,USA,1,0
interikeasystemsbv,Netherlands,1,0
itron,USA,8,0
ivologic,China,1,0
joycemeyerministries,USA,1,0
kentstateuniversity,USA,1,0
keybank,USA,14,1
kronos,USA,70,0
lockheedmartin,USA,70,5
lucsancapitalptyltd,USA,3,0
lumeta,USA,3,0
mcgrawhillfinancial,USA,12,2
mckesson,USA,156,21
medred,USA,1,0
memorialsloanketteringcancercenter,USA,20,0
monsantocompany,USA,24,2
morganstanley,USA,161,2
mtsmedicationtechnologies,USA,2,0
nanjingnormaluniversity,China,2,0
nationalaustraliabanklimited,USA,6,7
nationalenederlanden,USA,5,1
neubergerberman,USA,6,0
neustarinc,USA,4,5
nilutiontechnologies,USA,1,0
njvc,USA,7,3
northbrookcapitalcorp,Canada,1,0
northropgrumman,USA,28,5
nycdoitt,USA,3,0
nysofficeofitservices,USA,16,0
ohionational,USA,3,0
oilpriceinformationservice,USA,4,4
onetouchglobaltechnologies,USA,2,0
pacificbluecross,Canada,1,0
paychex,USA,35,1
processpathways,Canada,1,0
pronestor,Denmark,2,2
qualcomm,USA,23,0
questsoftware,USA,24,0
quickenloans,USA,16,0
rabobank,USA,5,4
rbc,Canada,31,6
safetychainsoftware,USA,5,0
saic,USA,28,4
samsungsds,USA,5,0
sccictservices,UK,1,2
stateoforegon,USA,2,2
statpro,SouthAfrica,0,0
sterlinginfosystemsinc,USA,1,0
suntrustbank,USA,5,0
susquehannainternationalgroupllp,USA,3,0
swissre,Switzerland,7,6
texaschildren'shospital,USA,0,0
tmobile,USA,12,0
travelerscompaniesinc,USA,13,0
trimble,USA,8,0
ulwercsgroup,USA,1,0
unumgroup,USA,39,1
usbank,USA,19,19
uspatentandtrademarkoffice,USA,6,6
vanguard,USA,9,3
vantiv,USA,4,0
viasat,USA,4,0
videoiq,USA,7,0
visa,USA,20,0
volvo,USA,2,0
wallstreetassociates,Japan,1,0
walmart,USA,42,3
wellsfargo,USA,124,13
wolterskluwer,Germany,1,0
xtiva,USA,2,0
apollogroup,USA,6,0
