Sum,,29,17403,29112,4612,1362,2231,130,45374,15652
,Title,board,c-suite,director,head,consultant,business,student,technical,others
1,Software Engineer,0,0,0,0,0,0,0,1,0
2,"Manager, Information Technology",0,0,1,0,0,0,0,1,0
3,NA,0,0,0,0,0,0,0,0,1
4,Account Executive,0,0,0,0,0,0,0,0,1
5,Manager,0,0,1,0,0,0,0,0,0
6,Chief Marketing Officer,0,1,0,0,0,1,0,0,0
7,NA,0,0,0,0,0,0,0,0,1
8,NA,0,0,0,0,0,0,0,0,1
9,Director of Software Development,0,0,1,0,0,0,0,1,0
10,NA,0,0,0,0,0,0,0,0,1
11,"Managing Director, Network Architecture, Engineering, and Delivery",0,0,1,0,0,0,0,1,0
12,chief Products,0,1,0,0,0,0,0,0,0
13,NA,0,0,0,0,0,0,0,0,1
14,"Manager, Windows, Messaging & Storage Systems",0,0,1,0,0,0,0,1,0
15,"IT Management: CIO, CTO",0,1,1,0,0,0,0,1,0
16,President,0,1,0,0,0,0,0,0,0
17,NA,0,0,0,0,0,0,0,0,1
18,Director of Development,0,0,1,0,0,0,0,0,0
19,Enterprise Architect,0,0,0,0,0,0,0,1,0
20,"Manager, SharePoint Enterprise Portal",0,0,1,0,0,0,0,0,0
21,CTO,0,1,0,0,0,0,0,0,0
22,NA,0,0,0,0,0,0,0,0,1
23,Director,0,0,1,0,0,0,0,0,0
24,chief Products,0,1,0,0,0,0,0,0,0
25,Enterprise Architect,0,0,0,0,0,0,0,1,0
26,chief Enterprise IT Service Management,0,1,1,0,0,0,0,1,0
27,Software Developer,0,0,0,0,0,0,0,1,0
28,"Director, Architecture",0,0,1,0,0,0,0,1,0
29,Head of Program Management Office,0,0,1,1,0,0,0,0,0
30,Director of Development,0,0,1,0,0,0,0,0,0
31,Enterprise Business Manager,0,0,1,0,0,0,0,0,0
32,NA,0,0,0,0,0,0,0,0,1
33,OpenStack & Hadoop Community Manager,0,0,1,0,0,0,0,1,0
34,"Director, Application Development",0,0,1,0,0,0,0,1,0
35,Chief Information Officer,0,1,0,0,0,0,0,1,0
36,Manager of Marketing,0,0,1,0,0,1,0,0,0
37,Solutions Architecture Manager,0,0,1,0,0,0,0,1,0
38,"Manager, Store Systems (Tween)",0,0,1,0,0,0,0,1,0
39,CEO | Board Director | Echief Sales & Go To Market,1,1,1,0,0,1,0,0,0
40,"Director, Infrastructure Solutions",0,0,1,0,0,0,0,1,0
41,NA,0,0,0,0,0,0,0,0,1
42,chief,0,1,0,0,0,0,0,0,0
43,NA,0,0,0,0,0,0,0,0,1
44,"chief, Mobile & Omnichannel Development (Macys.com)",0,1,0,0,0,0,0,0,0
45,google,0,0,0,0,0,0,0,0,1
46,Director of  Operations and Technical Services,0,0,1,0,0,0,0,1,0
47,Operations Consultant,0,0,0,0,1,0,0,0,0
48,chief Global Organizational Change Management,0,1,1,0,0,0,0,0,0
49,NA,0,0,0,0,0,0,0,0,1
50,Other: Non-Manager,0,0,1,0,0,0,0,0,0
51,"Team Lead, Software Development",0,0,0,1,0,0,0,1,0
52,"Director, Architecture",0,0,1,0,0,0,0,1,0
53,NA,0,0,0,0,0,0,0,0,1
54,"Head, Scientific Application Development & Software Architecture",0,0,0,1,0,0,0,1,0
55,NA,0,0,0,0,0,0,0,0,1
56,"Director, Information Technology",0,0,1,0,0,0,0,1,0
57,chief,0,1,0,0,0,0,0,0,0
58,"Director, IT Architecture",0,0,1,0,0,0,0,1,0
59,chief? Accounting Systems Control,0,1,0,0,0,0,0,1,0
60,"Head, Application & Data Services Basel",0,0,0,1,0,0,0,1,0
61,NA,0,0,0,0,0,0,0,0,1
62,"Director, Information Technology",0,0,1,0,0,0,0,1,0
63,chief,0,1,0,0,0,0,0,0,0
64,"Director, Data Center Technical Support",0,0,1,0,0,0,0,1,0
65,Director - Global Procurement,0,0,1,0,0,0,0,0,0
66,"Head, Application Services",0,0,0,1,0,0,0,1,0
67,"Application delivery, chief",0,1,0,0,0,0,0,1,0
68,Lead Software Engineer (Macys.com),0,0,0,1,0,0,0,1,0
69,Project Lead,0,0,0,1,0,0,0,0,0
70,Senior Enterprise Architect SAP,0,0,0,0,0,0,0,1,0
71,NA,0,0,0,0,0,0,0,0,1
72,"Global Head, Infrastructure & End User Services Management",0,0,1,1,0,0,0,0,0
73,NA,0,0,0,0,0,0,0,0,1
74,Software Engineer/Developer,0,0,0,0,0,0,0,1,0
75,Sr. Consultant,0,0,0,0,1,0,0,0,0
76,Director - Global Middle Office Technology,0,0,1,0,0,0,0,1,0
77,NA,0,0,0,0,0,0,0,0,1
78,"Manager, Information Technology Development and Service",0,0,1,0,0,0,0,1,0
79,Director - Infrastructure Engineering,0,0,1,0,0,0,0,1,0
80,Software Engineer/Developer,0,0,0,0,0,0,0,1,0
81,Principal Consultant,0,0,0,0,1,0,0,0,0
82,"Executive chief, Global Operations & Chief Information Officer",0,1,0,0,0,0,0,1,0
83,Senior Software Engineer and Consultant,0,0,0,0,1,0,0,1,0
84,"Service Manager, Software Testing & Licensing",0,0,1,0,0,0,0,1,0
85,Director Enterprise Architecture,0,0,1,0,0,0,0,1,0
86,System Architect-Wholesale CIO Architecture,0,1,0,0,0,0,0,1,0
87,Solutions Architect,0,0,0,0,0,0,0,1,0
88,"Director, Enterprise Data Architecture",0,0,1,0,0,0,0,1,0
89,"chief, Advanced Analytics Solutions",0,1,0,0,0,0,0,1,0
90,"Manager, Operate and Landscape",0,0,1,0,0,0,0,0,0
91,Enterprise Architect,0,0,0,0,0,0,0,1,0
92,Software Development,0,0,0,0,0,0,0,1,0
93,Lead Consultant / Enterprise Architect,0,0,0,1,1,0,0,1,0
94,"Director, Infrastructure Engineering",0,0,1,0,0,0,0,1,0
95,NA,0,0,0,0,0,0,0,0,1
96,"Delivery Manager, Business Systems",0,0,1,0,0,0,0,1,0
97,Manager of Saas Program,0,0,1,0,0,0,0,0,0
98,Software Engineer/Developer,0,0,0,0,0,0,0,1,0
99,Application Manager,0,0,1,0,0,0,0,1,0
100,"Senior Director, IT PMO",0,0,1,0,0,0,0,1,0
101,Software Engineer,0,0,0,0,0,0,0,1,0
102,"Manager, Information Technology",0,0,1,0,0,0,0,1,0
103,"Director, Enterprise Business Architecture",0,0,1,0,0,0,0,1,0
104,Software Developer,0,0,0,0,0,0,0,1,0
105,"Enterprise Architect, Business Transformation Architect",0,0,0,0,0,0,0,1,0
106,chief and Chief Technology Officer,0,1,0,0,0,0,0,1,0
107,Software Engineer,0,0,0,0,0,0,0,1,0
108,"Planning Manager, Technical and Competitive Information Technology",0,0,1,0,0,0,0,1,0
109,Assistant MIS Director,0,0,1,0,0,0,0,0,0
110,Software Developer,0,0,0,0,0,0,0,1,0
111,chief of Marketing,0,1,0,0,0,1,0,0,0
112,NA,0,0,0,0,0,0,0,0,1
113,CEO,0,1,0,0,0,0,0,0,0
114,"Team Lead and Architect, SharePoint",0,0,0,1,0,0,0,1,0
115,Senior Architect,0,0,0,0,0,0,0,1,0
